,title,company,location,salary,country,currency
0,Senior Data Engineer (Machine Learning & AI use cases),Nuvola Resourcing,Chertsey,65000.0,england,GBP
1,Data Scientist,Sykes Cottages,Chester CH1 3BQ,45000.0,england,GBP
2,Data Scientist,Public Health England,Colindale NW9,36011.0,england,GBP
3,Higher Statistical Data Scientist - across the GSS,UK Government - Government Statistical Service,Croydon,26401.0,england,GBP
4,Senior Statistical Data Scientist - across the GSS,UK Government - Government Statistical Service,Croydon,34090.0,england,GBP
5,Junior data science engineer,KC TECH PVT LTD,Dartford DA1 5GA,23000.0,england,GBP
6,Data Scientist,NHS Midlands and Lancashire Commissioning Support...,Leyland PR26 6TR,48710.5,england,GBP
7,"AI Advisory / Data Science Advisory, Senior Manager",Lawrence Harvey,London,120000.0,england,GBP
8,AI Architect – London,kdr Recruitment,London,85000.0,england,GBP
9,Agile Project Manager - Data Analytics,ShareForce,London,67500.0,england,GBP
10,Analytics Consultant,Harnham,London,45000.0,england,GBP
11,Big Data DevOps Engineer,Ripjar,London,45000.0,england,GBP
12,"Big Data Engineer - Hadoop, Spark, AWS",Vertus Partners,London,105000.0,england,GBP
13,"Big Data Engineer - Hadoop, Spark, Cloud",Vertus Partners,London,105000.0,england,GBP
14,Big Data Engineering Lead,Touchpoint Resource Ltd,London,100000.0,england,GBP
15,Big Data Lead,Linux Recruit,London,87500.0,england,GBP
16,Big Data Solutions Architect – London,kdr Recruitment,London,90000.0,england,GBP
17,Big Data and Data Science Platforms - Tech lead - FS,Lorien,London,75000.0,england,GBP
18,"C++ Developer - Risk, Machine Learning - London",Linux Recruit,London,90000.0,england,GBP
19,Computer Vision Machine Learning Engineer,GCS Recruitment Specialists Ltd,London,65000.0,england,GBP
20,Customer-Facing Data Scientists - London,Mudano,London,55000.0,england,GBP
21,DATA SCIENCE TEAM LEAD - FINTECH,Kite Group,London,95000.0,england,GBP
22,DATA SCIENTIST | VERV | LONDON OR SHEFFIELD,Austin Consultants,London,60000.0,england,GBP
23,Data Engineer – Specialty Analytics,"Data Science Works, Inc",London,70000.0,england,GBP
24,Data Science Consultant,Harnham,London,77500.0,england,GBP
25,Data Science Consultant,Harnham,London,55000.0,england,GBP
26,Data Science Manager,Harnham,London,75000.0,england,GBP
27,Data Science and Analytics Consultant/Researcher,Datatech Analytics,London,60000.0,england,GBP
28,Data Science – Recruitment Consultant – City of London,Permanent People,London,37000.0,england,GBP
29,Data Scientist,Ambassador Theatre Group,London,45000.0,england,GBP
30,Data Scientist,Datasource,London,40000.0,england,GBP
31,Data Scientist,Fable Data,London,42500.0,england,GBP
32,Data Scientist,Blue Pelican,London,47500.0,england,GBP
33,Data Scientist,Hasson Associates,London,47500.0,england,GBP
34,Data Scientist,Curation Zone,London,75000.0,england,GBP
35,Data Scientist,Paramount Recruitment Ltd,London,56000.0,england,GBP
36,Data Scientist,EMR Marketing Recruitment,London,62000.5,england,GBP
37,Data Scientist,Creatus IT Recruitment,London,45000.0,england,GBP
38,Data Scientist,McGregor Boyall,London,47500.0,england,GBP
39,Data Scientist,Blue Legal,London,47500.0,england,GBP
40,Data Scientist,Circadia Health,London,80000.0,england,GBP
41,Data Scientist,Credit Kudos,London,65000.0,england,GBP
42,Data Scientist,Movement8,London,52500.0,england,GBP
43,Data Scientist (Energy / Decarbonisation),Amida Recruitment Limited,London,67500.0,england,GBP
44,Data Scientist (Multiple Seniorities),Harnham,London,75000.0,england,GBP
45,Data Scientist (Product),Harnham,London,70000.0,england,GBP
46,Data Scientist (m/w/d),"Data Science Works, Inc",London,72500.0,england,GBP
47,Data Scientist - FTC - 3- Month Rolling Contract,The JM Group,London,70000.0,england,GBP
48,Data Scientist - Machine Learning (Python/SQL),Linux Recruit,London,85000.0,england,GBP
49,Data Scientist - Predictive Analytics,Opus Recruitment Solutions,London,70000.0,england,GBP
50,Data Scientist - Retail,Harnham,London,67500.0,england,GBP
51,Data Scientist / AI Engineer,Deerfoot,London,80000.0,england,GBP
52,Data Scientist Director,Harnham,London,100000.0,england,GBP
53,Data Scientist Python - Hedge Fund,Client Server,London,80000.0,england,GBP
54,Data Scientist Python PhD,Client Server,London,72500.0,england,GBP
55,Data Scientist – Independent Media Agency,Silverdrum,London,40000.0,england,GBP
56,Data Scientist – Insurance,Lawes Group,London,42500.0,england,GBP
57,Data Scientist – London,kdr Recruitment,London,50000.0,england,GBP
58,Data Scientist/ Senior Data Scientist,Harnham,London,75000.0,england,GBP
59,Deep Learning Engineer,IC Resources,London,70000.0,england,GBP
60,Deep Learning Engineer,"Data Science Works, Inc",London,85000.0,england,GBP
61,Deep Learning Engineer,IC Resources,London,60000.0,england,GBP
62,Deep Learning Scientist,Harnham,London,82500.0,england,GBP
63,Digital Analytics Manager,Harnham,London,55000.0,england,GBP
64,Financial Crime Analytics Manager,Harnham,London,70000.0,england,GBP
65,Full Cycle Data Scientist - FinTech,SoCode,London,100000.0,england,GBP
66,Head of Data Science,Consortia,London,102500.0,england,GBP
67,Head of Data Science,Harnham,London,115000.0,england,GBP
68,Head of Data Science - London - (Cutting Edge NLP!!),Lawrence Harvey,London,125000.0,england,GBP
69,Junior Data Science Consultant,Harnham,London,45000.0,england,GBP
70,Junior Data Scientist,Harnham,London,44500.0,england,GBP
71,"LEAD DATA ENGINEER – PYTHON, SQL – DATA SCIENCE – FINANCIAL...",Kite Group,London,90000.0,england,GBP
72,Lead Data Science Consultant,Harnham,London,92500.0,england,GBP
73,Lead Data Scientist,Harnham,London,90000.0,england,GBP
74,Lead Data Scientist,Fable Data,London,70000.0,england,GBP
75,Lead Engineer - Python - Machine Learning,Linux Recruit,London,85000.0,england,GBP
76,Lead Machine Learning Teacher,Harnham,London,92500.0,england,GBP
77,Lead NLP Data Scientist,Harnham,London,85000.0,england,GBP
78,Machine Learning Developer,ECM Selection,London,60000.0,england,GBP
79,Machine Learning Engineer,Women in Tech,London,32000.0,england,GBP
80,Machine Learning Engineer,Harnham,London,80000.0,england,GBP
81,Machine Learning Engineer,GCS Recruitment Specialists Ltd,London,55000.0,england,GBP
82,Machine Learning Engineer - Golf Start-Up - Python AWS ML Pr...,Opus Recruitment Solutions,London,75000.0,england,GBP
83,Machine Learning Engineer - Trading,Harnham,London,70000.0,england,GBP
84,"Machine Learning Engineer; Computer Vision, Data S",re&m,London,42500.0,england,GBP
85,Machine Learning Lead,Consortia,London,87500.0,england,GBP
86,Machine Learning Research Engineer,Seclea,London,36000.0,england,GBP
87,Machine Learning Research Engineer,IC Resources,London,70000.0,england,GBP
88,Machine Learning Software Engineer,Oho Group,London,45000.0,england,GBP
89,Machine Learning/Computer Vision Scientist (Home W,re&m,London,37500.0,england,GBP
90,Marketing Data Scientist,Hasson Associates,London,50000.0,england,GBP
91,Performance Analytics Manager,Blue Pelican,London,40000.0,england,GBP
92,Polyglot Engineer (AI Start-Up) - Python/ Golang/ Javascript,GCS Recruitment Specialists Ltd,London,65500.0,england,GBP
93,Pricing Data Scientist,ADLIB,London,55000.0,england,GBP
94,Principal Data Scientist,Harnham,London,87500.0,england,GBP
95,Product Analytics Manager,Blue Pelican,London,72500.0,england,GBP
96,Product Manager (Data Science),Harnham,London,75000.0,england,GBP
97,Product Manager - Computer Vision,Harnham,London,62500.0,england,GBP
98,Python Developer - AI SAAS,Propel,London,70000.0,england,GBP
99,Python Developer SQL Machine Learning AWS,Client Server,London,67500.0,england,GBP
100,Python Engineer Machine Learning SQL,Client Server,London,60000.0,england,GBP
101,Quantitative Financial Modeller – Balance Sheet & Analytics,Empirical Search,London,65000.0,england,GBP
102,Recruitment Consultant - Data Science,NP Group,London,30000.0,england,GBP
103,Research Data Scientist,Harnham,London,52500.0,england,GBP
104,Retail Senior Data Scientist / Retail Data Science Manager,Lloyds Banking Group,London,71924.5,england,GBP
